Country,Official language,Regional language,Minority language,National language,Widely spoken
Myanmar (Burma),['Burmese'],"['Chin', 'Kachin', 'Karen', 'Karenni', 'Mon', 'Rakhine', 'Shan']",None,None,None
Myanmar (Burma),['Burmese'],"['Chin', 'Kachin', 'Karen', 'Karenni', 'Mon', 'Rakhine', 'Shan']",None,None,None
Namibia[62],['English'],"['German', 'Oshiwambo']",None,['Afrikaans'],None
Nauru,"['English', 'Nauruan']",None,None,None,None
Nepal,['Nepali'],None,None,['all languages spoken as the mother tongue in Nepal'],None
Netherlands,['Dutch (de facto)'],"['West Frisian (in Friesland)', 'Papiamento (in Aruba, Curaçao, Bonaire)', 'English (in Sint Maarten, Sint Eustatius, Saba)', 'Limburgish', 'Low Saxon']",None,None,None
New Zealand,"['English (de facto)', 'Maori', 'New Zealand Sign Language']",None,None,None,None
Nicaragua,['Spanish'],None,None,None,None
Niger,['French'],None,None,"['Arabic', 'Hausa', 'Fulfulde', 'Gulmancema', 'Kanuri', 'Zarma', 'Tamazight']",None
Nigeria,['English'],None,None,"['Hausa', 'Yoruba', 'Igbo']",None
North Macedonia,"['Macedonian', 'Albanian']",None,None,None,None
Northern Cyprus,['Turkish'],None,None,None,None
Norway,"['Norwegian', 'Sami']","['Northern Sami (in Kautokeino, Karasjok, Gáivuotna, Kåfjord, Nesseby, Porsanger, Tana, Tysfjord)']","['Kven', 'Scandoromani']","['Bokmål (written)', 'Nynorsk (written)', 'Sami']","['Bokmål (written)', 'Nynorsk (written)', 'Sami', 'Romani']"
Norway,"['Norwegian', 'Sami']","['Northern Sami (in Kautokeino, Karasjok, Gáivuotna, Kåfjord, Nesseby, Porsanger, Tana, Tysfjord)']","['Kven', 'Scandoromani']","['Bokmål (written)', 'Nynorsk (written)', 'Sami']","['Bokmål (written)', 'Nynorsk (written)', 'Sami', 'Romani']"
Oman,['Arabic'],None,None,None,None
Oman,['Arabic'],None,None,None,None
Pakistan,"['English', 'Urdu']",None,None,['Urdu'],"['Punjabi', 'Balochi', 'Sindhi', 'Pashto']"
Palau,"['English', 'Palauan']","['Sonsorolese (in Sonsorol)', 'Tobian (in Hatohobei)', 'Japanese (in Angaur)']",None,None,None
Palestine,['Arabic (de facto)'],None,None,None,"['English', 'Hebrew']"
Panama,['Spanish'],None,None,None,None
Papua New Guinea,"['English', 'Hiri Motu', 'PNG Sign Language', 'Tok Pisin']",None,None,None,None
Paraguay,"['Spanish', 'Guaraní']",None,None,None,None
Peru,"['Spanish', 'Aymara', 'Quechua']",None,None,None,None
Philippines,"['English', 'Filipino', 'Filipino Sign Language']","['Aklanon (in the Visayas)', 'Bikol (in Luzon)', 'Cebuano (in the Visayas and Mindanao)', 'Ibanag (in Luzon)', 'Ilocano (in Luzon, official in La Union))', 'Ivatan (in Luzon)', 'Kapampangan (in Luzon)', 'Kanaray-a (in the Visayas)', 'Maranao (in Mindanao)', 'Maginanao (in Mindanao)', 'Pangasinan (in Luzon)', 'Sambal (in Luzon)', 'Tagalog (in Luzon)', 'Tausug (in Mindanao)', 'Waray (in the Visayas)', 'Yakan (in Mindanao)']",['(+ over 100 more minority languages)'],['Filipino'],"['Spanish', 'Arabic']"
Poland,['Polish'],['Kashubian (Pomeranian Voivodeship)'],"['German (Opole Voivodeship)', 'Lithuanian (Puńsk commune)', 'Belarusian (Podlaskie Voivodseship)', 'Czech', 'Hebrew', 'Yiddish', 'Lemko', 'Karaim', 'Armenian', 'Romani', 'Russian', 'Slovak', 'Tatar', 'Ukrainian']",None,None
Portugal,['Portuguese'],['Mirandese (Miranda do Douro)'],None,None,None
Portugal,['Portuguese'],['Mirandese (Miranda do Douro)'],None,None,None
Qatar,['Arabic'],None,None,None,None
Qatar,['Arabic'],None,None,None,None
Romania,['Romanian'],"['Armenian', 'German', 'Hungarian', 'Romani', 'Serbian', 'Slovak', 'Turkish', 'Ukrainian']",None,None,None
Russia,['Russian'],['(33 languages)'],None,None,None
Rwanda,"['English', 'French', 'Kinyarwanda', 'Swahili']",None,None,None,None
Rwanda,"['English', 'French', 'Kinyarwanda', 'Swahili']",None,None,None,None
Sahrawi Arab Democratic Republic,"['Tamazight', 'Arabic', 'Spanish']",None,None,None,None
Saint Kitts and Nevis,['English'],None,None,None,None
Saint Lucia,['English'],None,None,None,None
Saint Vincent and the Grenadines,['English'],None,None,None,None
Samoa,['English'],None,None,['Samoan'],None
San Marino,['Italian'],None,None,None,None
São Tomé and Príncipe,['Portuguese'],None,None,None,None
Saudi Arabia,['Arabic'],None,None,None,None
Senegal,['French'],None,None,"['Jola-Fogny', 'Mandinka', 'Pulaar', 'Serer', 'Soninke', 'Wolof']",None
Serbia,['Serbian'],None,['(15 languages)'],None,None
Seychelles,"['English', 'French', 'Seychellois Creole']",None,None,None,None
Sierra Leone,['English'],None,None,['Krio'],None
Singapore,"['English', 'Malay', 'Mandarin', 'Tamil']",None,None,['Malay'],None
Slovakia,['Slovak'],None,"['Bulgarian', 'Czech', 'German', 'Hungarian', 'Polish', 'Romani', 'Rusyn', 'Serbian', 'Ukrainian']",None,None
Slovenia,['Slovene'],None,"['Hungarian (Dobrovnik, Hodoš, Lendava)', 'Italian (Izola, Koper, Piran)', 'Croatian (Metlika, Brežice)']",None,None
Solomon Islands,['English'],None,None,None,None
Somalia,['Arabic'],None,None,['Somali'],None
Somaliland,"['Arabic', 'English', 'Somali']",None,None,None,None
